Nº;Contrato;Empresa;Data de assinatura/ início da vigência;Objeto;Término da vigência;Valor (R$);Executores e Suplentes
1;01/2020;R.P.A CONSTRUTORA E SERVIÇOS TERCEIRIZADOS EIRELI;18/05/2020;CONSTRUÇÃO PEV SANTA MARIA;18/05/2021;Global: R$ 421.353,09;EDMUNDO PACHECO GADELHA / EDWIN MACHADO HESS / GLAYSON LUIZ ALVARENGA CHAMIÇO / FERNANDA FERREIRA DE SOUSA
2;27/2019;AG CONSTRUÇÕES;13/11/2019;CONSTRUÇÃO PEV ÁGUAS CLARAS;16/05/2021;GLOBAL: R$ 172.846,56;EDMUNDO PACHECO GADELHA / DANIEL MARLON RODRIGUES GUEDES / FRANCISCO SOARES FILHO
