Venda de Composto Orgânico (R$);
2010;R$ 23.486,87
2011;R$ 13.007,72
2012;R$ 21.358,22
2013;R$ 17.740,92
2014;R$ 36.591,80
2015;R$ 32.731,08
2016;R$ 2.600,00
2017;R$ 300,00
2018;R$ 377,22
