QUADRO RESUMO DA GESTÃO DAS IRR EM FUNCIONAMENTO;;
IRR;Endereço;Associação/ Cooperativa
SCIA;SCIA, Quadra 10, Conj. 01, lote 1 e 2 CEP - 71250-610;Ambiente
SCIA Novo;SCIA, Quadra 09, Conj. 01, lote 02, CEP - 71250-810;Construir
;;Coorace
;;Cortrap
SIA;SIA Trecho 17, Rua 08, lote 105, CEP - 71200-222;Coopernoes
;;Recicla Brasília
SAAN;SAAN Quadra 02, Lote 650, CEP - 70632-210;Cooperlimpo
;;Acapas
P Sul;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU, CEP - 72235-816;Coopere
;;Plasferro
