CONVÊNIOS;;;;;;
Nº;Contrato;Empresa;Data de assinatura/ início da vigência;Objeto;Término da vigência;Valor (R$)
1;01/2018;SECRETARIA DE ESTADO DE SAÚDE COM SLU;10/05/2018;Promoção da coleta, do transporte, destinação adequada e tratamento adequado do lixo hospitalar (RSS) provenientes de todos os estabelecimentos da rede de saúde SES/DF;10/05/2023;Valor será repassado à SES/DF para ressarcir o SLU/DF
2;03/2017;SLU COM BRB;20/10/2017;Conta Vinculada - Acordo de Cooperação;20/10/2022;Não envolve a transferência de recursos financeiros
3;S/Nº;FJZB X SLU;01/11/2019;Promoção da coleta, do transporte, destinação adequada e tratamento adequado do lixo hospitalar (RSS) provenientes de todos os estabelecimentos da rede de saúde SES/DF;01/11/2021;Não envolve a transferência de recursos financeiros Obs: Não foi renovado
4;S/Nº;SSP X SLU;09/12/2020;Promoção da coleta, do transporte, destinação adequada e tratamento adequado do lixo hospitalar (RSS) provenientes de todos os estabelecimentos da rede de saúde SES/DF;09/12/2021;não envolve a transferência de recursos financeiros Obs: Não foi renovado
5;S/Nº;CREA X SLU;30/07/2020;Registro de ART's de atividades de Engenharia e Agronomia desenvolvidos por profissionais do SLU;30/07/2021;Não envolve a transferência de recursos financeiros
6;01/2020;SEMA X SLU X CENTCOOP;01/12/2020;Assessoria Técnica, Capacitação e à Gestão dos Centros de Triagem de Materiais Recicláveis;01/12/2024;Não envolve a transferência de recursos financeiros
7;01/2020;ADASA X SLU;30/07/2020;Realização de ações conjuntas destinadas a promover a melhoria de relacionados à prestação dos serviços públicos de limpeza urbana e manejo de resíduos sólidos objetivando que esses processos sejam capazes de produzir informações com alto nível de confiabilidade;30/01/2022;Não envolve a transferência de recursos financeiros
