;CTR 2;;;660,59;;;712,59;;;784,34;;;753,52;;;684,45;;;677,03;;;664,87;;;658,87;;;685,44;;;634,38;;;613,47;;;710,67;;;8.240,21;
;Recicla Brasilia;;;31,12;;;27,94;;;33,78;;;36,47;;;30,78;;;38,23;;;28,84;;;33,85;;;31,27;;;34,53;;;31,61;;;54,73;;;413,14;
;SUMA BRASIL;;;-;;;4,51;;;10,94;;;12,87;;;9,36;;;-;;;-;;;6,82;;;40,49;;;19,45;;;8,73;;;55,70;;;168,87;
;VALOR;;629,47;;;680,14;;;739,62;;;704,18;;;644,31;;;638,80;;;636,03;;;618,20;;;613,68;;;580,40;;;573,13;;;600,24;;;7.658,20;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DL SUL;;;127,39;;;37,66;;;8,33;;;0,34;;;-;;;-;;;3,13;;;-;;;-;;;-;;;-;;;64,68;;;241,53;
;SUMA BRASIL;;;-;;;-;;;-;;;0,34;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;1,36;;;1,70;
;VALOR;;127,39;;;37,66;;;8,33;;;-;;;-;;;-;;;3,13;;;-;;;-;;;-;;;-;;;63,32;;;239,83;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GALPÃO;;48,62;;;55,65;;;68,71;;;73,00;;;60,50;;;52,18;;;61,93;;;56,85;;;54,69;;;54,27;;;55,69;;;68,27;;;710,36;;
;PRÓPRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CEILÂNDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Recicle a Vida;;;32,28;;;38,21;;;45,47;;;52,56;;;36,68;;;33,04;;;35,98;;;36,00;;;32,67;;;32,70;;;35,45;;;40,25;;;451,29;
;SUSTENTARE;;16,34;;;17,44;;;23,24;;;20,44;;;23,82;;;19,14;;;25,95;;;20,85;;;22,02;;;21,57;;;20,24;;;28,02;;;259,07;;
;SANEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GALPÃO;;33,72;;;32,82;;;37,59;;;30,34;;;32,80;;;34,19;;;32,76;;;40,00;;;38,15;;;34,58;;;40,58;;;48,07;;;435,60;;
;PRÓPRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SANTA MARIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R3;;;33,72;;;32,82;;;37,59;;;30,34;;;32,80;;;34,19;;;32,76;;;40,00;;;38,15;;;34,58;;;40,58;;;48,07;;;435,60;
;GALPÃO;;21,99;;;20,31;;;25,17;;;21,97;;;20,78;;;21,52;;;20,93;;;23,40;;;17,21;;;20,47;;;19,59;;;20,88;;;254,22;;
;PRÓPRIO SÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEBASTIÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ecolimpo;;;21,99;;;20,31;;;25,17;;;21,97;;;20,78;;;21,52;;;20,93;;;23,40;;;17,21;;;20,47;;;19,59;;;20,88;;;254,22;
;GALPÃO;;99,26;;;114,71;;;130,97;;;119,62;;;112,93;;;139,50;;;113,89;;;118,13;;;110,37;;;115,01;;;115,67;;;157,54;;;1.447,60;;
;PRÓPRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SOBRADINHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cooperdife;;;45,58;;;42,33;;;45,77;;;46,60;;;36,25;;;39,48;;;38,22;;;45,29;;;45,00;;;40,65;;;43,52;;;56,95;;;525,64;
;VALOR;;53,68;;;72,38;;;85,20;;;73,02;;;76,68;;;100,02;;;75,67;;;72,84;;;65,37;;;74,36;;;72,15;;;100,59;;;921,96;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GALPÃO;;69,40;;;63,69;;;73,75;;;62,31;;;60,21;;;62,04;;;64,51;;;69,19;;;65,82;;;73,92;;;96,99;;;103,26;;;865,09;;
;PRÓPRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;VARJÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CRV;;;69,40;;;63,69;;;73,75;;;62,31;;;60,21;;;62,04;;;64,51;;;69,19;;;65,82;;;73,92;;;96,99;;;103,26;;;865,09;
;IRR;;22,49;;;21,01;;;23,57;;;21,92;;;27,86;;;24,87;;;21,00;;;25,60;;;39,01;;;43,84;;;43,60;;;30,43;;;345,20;;
;BRAZLÂNDIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acobraz;;;22,49;;;21,01;;;23,57;;;21,92;;;27,86;;;24,87;;;21,00;;;25,60;;;39,01;;;43,84;;;43,60;;;30,43;;;345,20;
;IRR P SUL;;;488,45;;;473,61;;;520,25;;;478,94;;;504,84;;;500,41;;;503,90;;;496,30;;;467,69;;;479,61;;;523,31;;;594,46;;;6.031,77;
