;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;1.838,43;;;1.597,53;;;1.659,47;;;1.642,29;;;1.608,26;;;1.586,34;;;1.720,75;;;1.686,99;;;1.725,45;;;1.734,46;;;1.679,66;;;1.977,39;;;;20.457,02;;;1.704,75;
;Lote II;;968,11;;;806,14;;;868,02;;;877,12;;;848,18;;;829,73;;;1.003,68;;;985,22;;;992,48;;;1.083,74;;;1.066,13;;;1.340,86;;;;11.669,41;;;972,45;
;Lote III;;1.999,31;;;1.885,68;;;1.933,96;;;1.768,89;;;1.673,70;;;1.660,07;;;1.795,73;;;1.705,96;;;1.880,18;;;1.993,84;;;1.872,99;;;2.252,31;;;;22.422,62;;;1.868,55;
;Total;;;4.805,85;;;4.289,35;;;4.461,45;;;4.288,30;;;4.130,14;;;4.076,14;;;4.520,16;;;4.378,17;;;4.598,11;;;4.812,04;;;4.618,78;;;5.570,56;;;54.549,05;;;4.545,75;
