26;17/2021;N.P. CAPACITAÇÃO E SOLUÇÕES TECNOLÓGICAS LTDA.;24/08/2021;;Contratação de empresa especializada;;24/08/2022;Global: R$ 8.700,00;ADRIANE RANGEL BARBOSA / LUCINEIDE MARIA BASTOS DOS SANTOS;;
;;;;;para o fornecimento da ferramenta de;;;;;;
;;;;;pesquisas e comparação de preços;;;;;;
;;;;;praticados pela administração pública.;;;;;;
27;21/2021;P & B SISTEMAS DE SEGURANCA EIRELI;09/09/2021;;Prestação de serviços de manutenção e;;09/09/2022;Global: R$ 1.997,90;GERSON GOMES DA SILVA NETO / KEVEN WILLIAM NASCIMENTO DA SILVA;;
;;;;;conservação de bens móveis e;;;;;;
;;;;;fornecimento de materiais de;;;;;;
;;;;;manutenção de bens móveis,;;;;;;
;;;;;equipamento de proteção, segurança e;;;;;;
;;;;;socorro.;;;;;;
28;22/2021;UNIVERSIDADE PATATIVA DO ASSARE;15/10/2021;;Prestação de serviço Agente de;;15/10/2022;GLOBAL: R$ 613.104,00;PATRÍCIA LEMOS XAVIER / AMANDA GOMES MARTINS;;
;;;;;Integração para operacionalização de;;;;;;
;;;;;Programa de Estágio não Obrigatório no;;;;;;
;;;;;Serviço de Limpeza Urbana do Distrito;;;;;;
;;;;;Federal.;;;;;;
29;26/2021;OURO GÁS LTDA;03/12/2021;A aquisição de gás liquefeito de petróleo-GLP;;;03/12/2022;GLOBAL: R$ 15.720,00;;ADRIANA CESÁRIO DA;
;;;;;;;;;;CONSEIÇÃO / GERSON GOMES;
;;;;;;;;;;DA SILVA NETO;
