;CTR 1, 2 e IRR SAAN;;;;;;
Mês;;;;Quantidade Mensal;;Aproveitamento (%);
;;;;Recuperada (Ton);;;
;Janeiro;;271,67;;;36%;
Fevereiro;;;186,21;;;30%;
Março;;;196,81;;;26%;
Abril;;;69,02;;;28%;
Maio;;;244,75;;;27%;
Junho;;;609,19;;;51%;
Julho;;;423,01;;;42%;
Agosto;;;380,56;;;41%;
Setembro;;;206,29;;;34%;
Outubro;;;287,87;;;35%;
Novembro;;;275,45;;;36%;
Dezembro;;;771,46;;;52%;
Subtotal (Ton) / Média (%);;;3.922,29;;;36%;
