;ATENDIMENTO À IMPRENSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Janeiro;;;Fevereiro;;;Março;;;Abril;;;Maio;;;Junho;;Julho;Agosto;;Setembro;;;Outubro;;;Novembro;;;Dezembro;;;TOTAL;
;Demandas;;;78;;;45;;;56;;;41;;;36;;;38;;47;31;;38;;;43;;;66;;;48;;;567;
