;TOTAL PAGO NOS LOTES I, II E III (R$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;TOTAL SERVIÇO;
;Varrição manual;;R$ 11.423.596,09;;;R$ 10.527.909,58;;;R$ 12.177.873,02;;;R$ 11.067.527,78;;;R$ 11.817.037,52;;;R$ 12.118.617,02;;;R$ 12.125.144,89;;;R$ 12.570.532,26;;;R$ 11.974.629,92;;;R$ 11.995.465,86;;;R$ 11.688.415,28;;;R$ 12.282.708,58;;;R$ 141.769.457,80;;
;de vias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta Seletiva;;R$ 3.109.220,71;;;R$ 2.969.773,83;;;R$ 3.234.797,40;;;R$ 3.068.211,94;;;R$ 3.423.827,80;;;R$ 3.343.382,06;;;R$ 3.390.867,23;;;R$ 2.889.461,48;;;R$ 2.937.919,93;;;R$ 3.263.741,07;;;R$ 2.937.336,38;;;R$ 3.217.765,19;;;;R$ 37.786.305,02;
;Coleta;;R$ 13.333.761,25;;;R$ 11.645.707,10;;;R$ 12.897.703,40;;;R$ 11.991.110,34;;;R$ 12.457.855,94;;;R$ 11.606.565,22;;;R$ 11.656.709,92;;;R$ 12.456.711,00;;;R$ 12.290.847,37;;;R$ 13.239.981,16;;;R$ 13.640.989,88;;;R$ 14.397.848,29;;;R$ 151.615.790,86;;
;convencional de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RSU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta manual de;;R$ 968.259,43;;;R$ 969.600,40;;;R$ 994.457,65;;;R$ 1.003.812,03;;;R$ 1.010.089,13;;;R$ 1.004.262,31;;;R$ 1.006.116,58;;;R$ 999.604,02;;;R$ 1.007.529,61;;;R$ 1.008.398,24;;;R$ 991.066,77;;;R$ 1.735.772,01;;;R$ 12.698.968,18;;
;entulhos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta;;R$ 3.115.452,80;;;R$ 3.164.481,82;;;R$ 3.528.744,33;;;R$ 3.343.835,06;;;R$ 3.798.895,90;;;R$ 3.854.728,22;;;R$ 3.712.619,59;;;R$ 3.729.485,69;;;R$ 3.736.180,58;;;R$ 3.446.181,26;;;R$ 3.141.078,16;;;R$ 3.230.893,97;;;R$ 41.802.577,38;;
;mecanizada de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;entulhos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Limpeza de;;R$ 282.064,73;;;R$ 282.030,75;;;R$ 282.030,75;;;R$ 294.435,49;;;R$ 294.435,49;;;R$ 294.435,49;;;R$ 294.441,57;;;R$ 291.822,28;;;R$ 294.438,25;;;R$ 294.506,85;;;R$ 294.509,27;;;R$ 294.664,29;;;R$ 3.493.815,21;;
;equipamentos e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bens Públicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Catação em Área;;R$ 3.630.979,61;;;R$ 3.639.791,04;;;R$ 3.795.084,56;;;R$ 3.907.071,19;;;R$ 3.843.128,39;;;R$ 3.908.984,91;;;R$ 3.905.876,37;;;R$ 3.899.222,57;;;R$ 3.871.954,43;;;R$ 3.901.986,94;;;R$ 3.899.852,41;;;R$ 3.916.244,71;;;R$ 46.120.177,13;;
;Verde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lavagem de Vias;;R$ 287.169,38;;;R$ 287.124,60;;;R$ 287.124,60;;;R$ 299.121,23;;;R$ 299.121,23;;;R$ 299.121,03;;;R$ 299.124,93;;;R$ 299.123,39;;;R$ 299.122,89;;;R$ 299.197,87;;;R$ 299.199,35;;;R$ 299.284,69;;;R$ 3.553.835,19;;
;e Logradouros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;públicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
