ATIVIDADE;UNIDADE;2017;2018;2019;2020
Coleta dos resíduos domiciliares e comerciais;T;828.765;800.685;782.125;786.122,0
Coleta, tratamento e destinação dos resíduos de serviços de saúde;T;2.165;2.417;2.513;3.130,2
Coleta dos resíduos de remoção (coleta corretiva) (manual + mecanizada);T;636.005;438.079;425.175;615.760,8
