;CUSTO DA OPERAÇÃO DOS PAPA ENTULHO (PEV);;;;;;;;;;;;
Mês;;;Coleta e transporte mecanizado;;;Coleta e transporte manual de;;;Coleta e Transporte manual de;;Custo total;;
;;;de entulho;;;podas;;;Resíduos Volumosos;;;;
;Janeiro;R$ 408.046,76;;;R$ 174.482,37;;;R$ 91.931,61;;;;R$ 674.460,74;
;Fevereiro;R$ 413.861,26;;;R$ 169.331,18;;;R$ 93.252,25;;;;R$ 676.444,69;
;Março;R$ 446.314,54;;;R$ 208.212,85;;;R$ 110.053,80;;;;R$ 764.581,19;
;Abril;R$ 453.690,29;;;R$ 198.218,63;;;R$ 106.385,34;;;;R$ 758.294,26;
;Maio;R$ 456.640,58;;;R$ 203.632,17;;;R$ 110.053,80;;;;R$ 770.326,55;
;Junho;R$ 427.465,41;;;R$ 193.221,52;;;R$ 102.716,88;;;;R$ 723.403,81;
;Julho;R$ 468.905,84;;;R$ 216.748,60;;;R$ 112.487,86;;;;R$ 798.142,30;
;Agosto;R$ 470.264,01;;;R$ 206.778,16;;;R$ 113.639,61;;;;R$ 790.681,78;
;Setembro;R$ 466.569,80;;;R$ 200.275,71;;;R$ 99.050,74;;;;R$ 765.896,25;
;Outubro;R$ 449.384,66;;;R$ 321.779,08;;;R$ 147.425,72;;;;R$ 918.589,46;
;Novembro;R$ 369.005,12;;;R$ 352.829,43;;;R$ 138.928,65;;;;R$ 860.763,20;
;Dezembro;R$ 442.059,61;;;R$ 385.965,53;;;R$ 178.568,62;;;;R$ 1.006.593,76;
;TOTAL;;R$ 5.272.207,88;;;R$ 2.831.475,23;;;R$ 1.404.494,88;;;R$ 9.508.177,99;
