Recicle a Vida;jun/2020 a jun/2021;31/2018;R$ 304,14;3573,85;1.086.951,84
Renascer;jun/2020 a jun/2021;33/2018;R$ 304,14;834,04;253.663,69
Renove;jun/2020 a jun/2021;37/2018;R$ 248,10;1914,18;474.908,39
Total;-;-;-;35.452,60;10.604.379,27
