;;Lei Geral de Proteção de Dados - Legislação e Implementação;;;;2;;
;;Media training;;;;5;;
;;Oratória para cursos e palestras - Módulo Intermediário;;;;1;;
;;Procedimentos disciplinares para iniciantes;;;;3;;
;;Programa de Ambientação e Integração;;;;1;;
;;Ressignificar: Proteção integral às mulheres;;;;1;;
;;Sistema Eletrônico de Informações (SEI) - Módulo Usar - versão 4.0;;;;2;;
;;Teoria e prática;;;;1;;
;;Tomada de Contas Especial – Módulo II: Execução;;;;2;;
;;Trilha de Políticas Públicas - Formulação no Ciclo da Política Pública;;;;2;;
;;Contratação de Soluções de Tecnologia da Informação e Comunicação;TCDF;;;1;;
;;Gestão de Contratos na Lei 14.133/2021;;;;2;;
;;Sistema Eletrônico de Informações (SEI) - Módulo Usar - versão 4.0;;;;4;;
;;Gestão e Fiscalização de Contratos Administrativos;;;;1;;
;CERTIFICADOS EMITIDOS NO 2º TRIMESTRE;;;;;;55;
