;Local;;;Visitantes;
Evento: “Ocupa o Lago” Ermida Dom Bosco;;;110;;
Rodoviária do Plano Piloto;;;232;;
Aeroporto Internacional de Brasília;;;182;;
Câmara Legislativa do Distrito Federal;;;176;;
Festa Julina SESI Gama;;;294;;
III Corrida do Gari-Eixão Norte;;;80;;
Evento: “Green Move” Museu da República;;;357;;
Semana Nacional de Ciência e Tecnologia–SNCT 2017;;;1.480;;
;TOTAL;;;2911;
