;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL POR SERVIÇO
Coleta domiciliar e comercial;5 .372.580;5 .126.110;4 .705.126;4 .731.069;5 .337.031;4 .856.850;5 .542.077;5 .366.791;5 .737.476;5 .841.672;5 .805.827;6 .621.211;65.043.818
Coleta de resíduos de saúde;294.681;264.077;292.269;269.719;333.931;303.326;332.076;330.830;314.493;315.749;295.244;290.783;3.637.178
Operação do aterro do Jóquei;1 .321.562;1 .108.552;1 .136.140;976.919;1 .567.614;1 .003.824;1 .188.103;1 .198.775;1 .243.622;1 .291.389;1 .315.138;1 .469.688;14.821.329
Coleta manual e mecanizada de entulho;1 .211.908;1 .412.175;1 .463.055;1 .379.544;1 .924.252;2 .504.532;3 .158.173;3 .067.455;1 .978.449;1 .244.822;712.461;298.500;20.355.327
Operação UCTL e UTL;1 .010.763;858.255;783.850;567.501;1 .124.605;781.149;946.083;914.002;826.879;983.429;972.039;911.302;10.679.859
Varrição manual e mecanizada de vias;7 .091.909;6 .510.738;7 .648.535;7 .563.410;1 0.473.995;9 .709.729;1 0.979.889;1 0.630.920;1 0.646.695;1 0.550.704;9 .266.995;1 0.528.963;1 11.602.484
TOTAL MENSAL;16.303.403;15.279.908;16.028.975;15.488.163;20.761.428;19.159.409;22.146.402;21.508.773;20.747.614;20.227.765;18.367.705;20.120.447;
