Acidentes de trabalho nas IRRs;;;
IRR;Nº DE ACIDENTES;MÊS DO OCORRIDO;CAUSA
IRR SAAN;01;Fevereiro;Cooperada da cooperativa Cooperlimpo teve a mão perfurada por material hospitalar.
;02;Março;Cooperada da cooperativa Cooperlimpo sofreu perfuração. Contêiner caiu no pé de colaborador da empresa Valor Ambiental.
IRR SCIA QD. 10;03;Janeiro;Duas cooperadas da cooperativa Ambiente perfuraram o dedo da mão com resíduos hospitalares. Um cooperado da cooperativa Ambiente perfurou o dedo com cabo de aço.
;01;Março;9 cooperados da cooperativa Ambiente inalaram gases resultantes da decomposição biológica dos resíduos.
IRR SCIA QD. 09;02;Janeiro;Uma cooperada da cooperativa Cortrap perfurou o pé direito com um pedaço de ferro. Um cooperado da cooperativa Construir perfurou a cabeça quando outro cooperado fechou a porta da prensa.
IRR SIA;02;Fevereiro;Um cooperado da cooperativa Coopernoes sofreu corte na perna. Um cooperado da cooperativa Coopernoes sofreu queimadura superficial no rosto, por água quente, ao mexer no radiador da empilhadeira.
IRR P SUL;02;Janeiro;Uma cooperada da cooperativa Coopere teve o dedo perfurado por agulha de seringa. Cooperados da cooperativa Coopere se sentiram mal devido ao cheiro de pimenta oriundo de uma lata que não pôde ser identificada.
;01;Fevereiro;Cooperado da cooperativa Coopere sofreu ferimento no joelho direito.
;01;Março;Cooperado da cooperativa Plasferro sofreu desmaio.
