VALOR;;;;FONTE;;;;;;;;;;;;;;;;
;;;;100;;;114;;;161;;;183;;;220;;;TOTAL;
;JAN;;R$ 47.693.561,58;;;-;;;-;;;R$ 76.513,42;;;R$ 331.942,75;;;;R$ 48.102.017,75;
;FEV;;R$ 46.365.547,68;;;-;;;-;;;R$ 246.007,86;;;R$ 459.506,99;;;;R$ 47.071.062,53;
;MAR;;R$ 49.570.481,85;;;-;;;-;;;R$ 52.076,69;;;R$ 541.405,26;;;;R$ 50.163.963,80;
;ABR;;R$ 38.634.807,43;;;-;;;-;;;R$ 46.717,57;;;R$ 396.346,17;;;;R$ 39.077.871,17;
;MAI;;R$ 47.879.906,01;;;R$ 1.088.734,63;;;-;;;R$ 67.111,62;;;R$ 203.659,18;;;;R$ 49.239.411,44;
;JUN;;R$ 42.964.836,38;;;R$ 1.882.713,85;;;-;;;R$ 61.589,58;;;R$ 239.144,36;;;;R$ 45.148.284,17;
;JUL;;R$ 13.939.880,13;;;R$ 34.072.616,10;;;-;;;R$ 537.889,78;;;R$ 306.988,56;;;;R$ 48.857.374,57;
;AGO;;R$ 16.799.741,40;;;R$ 30.755.121,25;;;-;;;R$ 546.651,78;;;R$ 366.944,67;;;;R$ 48.468.459,10;
;SET;;R$ 14.971.110,23;;;R$ 31.672.218,75;;;R$ 276.564,53;;;R$ 645.652,05;;;R$ 426.600,79;;;;R$ 47.992.146,35;
;OUT;;R$ 33.781.168,92;;;R$ 13.438.589,03;;;R$ 1.311.360,36;;;R$ 140.613,42;;;R$ 2.321.079,19;;;;R$ 50.992.810,92;
;NOV;;R$ 14.141.708,63;;;R$ 4.293.926,38;;;R$ 7.029.918,62;;;R$ 31.752.355,08;;;R$ 701.823,59;;;;R$ 57.919.732,30;
;DEZ;;R$ 23.882.209,64;;;R$ 968.810,56;;;R$ 20.631.898,02;;;R$ 28.910.278,35;;;R$ 862.891,39;;;;R$ 75.256.087,96;
;%;;;62,465%;;;20,445%;;;4,987%;;;10,861%;;;1,242%;;;100%;
