;RESÍDUOS RECUPERADOS EM TONELADAS - 2025 (CONTRATO ANTIGO);;;;;;;;;
;Material;Diversos;Metal;Papel;Plástico;;;Vidro;Total Geral;
;Janeiro;42,12;240,17;1.139,56;1.007,95;;418,19;;2.847,99;
;Fevereiro;20,02;84,48;437,65;254,99;;26,44;;823,58;
;Março;8,30;80,56;250,74;219,12;;10,85;;569,57;
;Abril;11,50;37,96;159,22;20,04;;0,00;;228,72;
;Maio;7,35;56,84;108,18;24,47;;3,07;;199,90;
;TOTAL GERAL;89,29;500,02;2.095,35;1.526,56;;;458,55;4.669,76;
