QTD;PROCESSO Nº:;INSTAURADO/FI- NALIZADO EM:;CONCLUSÃO:;PRAZO:;OBJETO:
4;00094-00010441/2018-19;19/11/2018 e finalizado em 29/04/2019;Arquivar por falta de materialidade e autoria de suposta infração disciplinar, conforme Instrução nº 185, de 01º/07/2019, publicada no DODF nº 128, p. 48, de 10/07/2019;5 meses e 10 dias;Ausência no local de trabalho, uso indevido de veículo oficial e pagamento inadequado de adicional noturno.
5;00094-00010385/2018-12;07/03/2019 e finalizado em 30/08/2019;Aplicação de penalidade de Advertência, conforme Instrução nº 301, de 28/11/2019, publicada no DODF nº 243, p. 40, de 23/12/2019.;5 meses e 23 dias;Uso indevido de veículo público – fiscalizar em local que não estava prevista programação de serviços de catação entre o SLU e a empresa Valor Ambiental.
6;00094-00010788/2018-61;11/03/2019 e finalizado em 28/06/2019;Aplicação de penalidade de Advertência conforme Instrução nº 285, de 25/10/2019, publicada no DODF nº 255, p. 31, de 27/11/2019.;4 meses e 12 dias;Irregularidade no carregamento da remoção mecanizada – Permitiu carregamento de terra misturada com entulho.
7;00094-00002493/2019-01;08/08/2019 (em andamento);Aplicação de penalidade de Advertência e suspensão.;3 meses e 4 dias;Vias de fato entre servidores públicos – xingamento/ofensa física.
8;00094-00003609/2019-11;09/09/2019 (em andamento);Arquivar por não ter cometido infração disciplinar.;1 mês e 26 dias;Prática de comércio ou usura na repartição – Venda de Marmitas.
9;00094-00008836/2018-51;28/02/2019 e finalizado em 03/06/2019;Absorver os servidores e determinar o arquivamento dos autos, conforme Instrução nº 302, de 28 de novembro de 2019, publicada no DODF nº 235, p.20, de 11/12/2019.;4 meses e 6 dias;Uso indevido de veículo oficial – Avarias causadas em decorrência de colisão em buracos.
