;MÊS;;;VOLUME (M³);
;Janeiro;;47.820,0;;
;Fevereiro;;53.730,0;;
;Março;;55.610,0;;
;Abril;;47.010,0;;
;Maio;;25.700,0;;
;Junho;;16.910,0;;
;Julho;;15.300,0;;
;Agosto;;14.560,0;;
;Setembro;;12.590,0;;
;Outubro;;11.514,4;;
;Novembro;;29.926,7;;
;Dezembro;;49.653,8;;
;Total;;;380.324,9;
