;Etapas da construção do ASB;;;;;;;;;;
;Etapa;;;Área (m²);;;Capacidade (t);;;Vida Útil (anos);
Etapa 1;;;110.000,0;;;1.872.000,0;;;3,1;;
;Etapa 2;;122.000,0;;;1.990.000,0;;;3,2;;
;Etapa 3;;88.000,0;;;1.596.000,0;;;2,6;;
;Etapa 4 –;;-;;;2.672.000,0;;;4,4;;
;Coroamento;;;;;;;;;;
;Total;;;329.850;;;8.212.000;;;12,5;
