Equipamentos dos aterros;/oiopa oãçazilacsfi ed olucíeV;aciluárdih ariedavacsE;icetsaba )asolem( ed oãhnimaC otnem;arodatropsnart emurohc aterraC ed;apip oãhnimaC;arodalevinotoM;airecorrac oãhnimaC;rodareG;abmobotoM;oiobmoc oãhnimaC;assof-apmil oãhnimaC;ariedagerrac áP;arietse rotarT;abmaçac odacurt oãhnimaC;rodarutirt/rodaciP sohlag ed;levóm arietse rodatirB erbos;ariedavacseorteR;rodatcapmoc oloR;ariedagerraciniM;uenp rotarT;latoT
Unidade de Recebimento de Entulho (URE);5;2;1;3;4;1;-;-;-;-;-;2;4;4;1;1;-;-;-;-;28
Operação e Manutenção do ASB;2;7;-;-;3;2;1;2;7;1;1;1;5;11;-;-;2;2;1;1;49
Total;7;9;1;3;7;3;1;2;7;1;1;3;9;15;1;1;2;2;1;1;77
