;RESUMO DAS ATIVIDADES EM 2022;;;;;;;
Atividade;;;Quantidade;;;;Público;
;;;;;;;Alcançado;
;Museu da Limpeza Urbana;;-;;;4.669;;
;Eventos;;95;;;9.620;;
;Atendimento Ouvidoria;;113;;;113;;
;Mobilização em Ação;;8;;;6.946;;
;Mobilização Dejetos de Animais;;4;;;710;;
;Mobilização de Grandes Geradores;;5;;;700;;
;Palestras;;27;;;960;;
;Capacitação Mobilizadoras;;2;;;-;;
;Capacitação Cooperativas;;2;;;-;;
;Campanha Cartão Verde;;1;;;900;;
;Total;;;257;;;24.618;
