;Compostagem;;;;;;;;;;;;;
;Unidade;;;2.014;;;2015;;;Diferença;;;;
;Quantidade (T);;;54.054;;;37.988;;;-16.066;;;-30%;
;Valor pago (R$);;;535.410;;;271.974;;;-263.436;;;-49%;
;R$/Ton;;;9,91;;;7,16;;;-2,75;;;-28%;
