LOTE II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;
o ã ç ir r a V;e d la u n a m;s a iv;R$ 2.239.884,93;;;R$ 2.133.343,12;;;R$ 2.420.143,45;;;R$ 2.188.672,66;;;R$ 2.313.884,66;;;R$ 2.393.779,75;;;R$ 2.484.784,51;;;R$ 2.455.703,71;;;R$ 2.417.916,22;;;R$ 2.437.216,67;;;R$ 2.524.489,20;;;R$ 2.539.157,29;;
a te lo C;a v ite le S;;R$ 392.699,54;;;R$ 372.067,34;;;R$ 416.770,44;;;R$ 398.340,94;;;R$ 385.294,80;;;R$ 382.628,40;;;R$ 395.293,80;;;R$ 383.795,25;;;R$ 398.479,59;;;R$ 391.804,89;;;R$ 414.922,98;;;R$ 426.388,90;;
a te lo C;la n o ic n e v n o c;U S R e d;R$ 1.748.073,17;;;R$ 1.590.028,12;;;R$ 1.703.797,40;;;R$ 1.512.232,09;;;R$ 1.461.022,46;;;R$ 1.450.525,68;;;R$ 1.426.462,79;;;R$ 1.435.311,76;;;R$ 1.449.712,84;;;R$ 1.521.934,89;;;R$ 1.757.066,87;;;R$ 1.904.041,12;;
a te lo C;e d la u n a M;s o h lu tn E;R$ 232.993,86;;;R$ 232.993,86;;;R$ 231.557,06;;;R$ 220.758,97;;;R$ 365.226,96;;;R$ 365.226,96;;;R$ 365.226,96;;;R$ 365.441,44;;;R$ 365.441,44;;;R$ 365.441,44;;;R$ 394.698,08;;;R$ 394.698,08;;
a te lo C;a d a z in a c e m;s o h lu tn e e d;R$ 412.748,96;;;R$ 383.589,71;;;R$ 431.914,93;;;R$ 440.946,63;;;R$ 341.331,03;;;R$ 379.756,99;;;R$ 377.122,13;;;R$ 452.756,31;;;R$ 434.755,66;;;R$ 413.860,85;;;R$ 387.202,62;;;R$ 349.960,77;;
e d a z e p m iL;e s o tn e m a p iu q E;s o c ilb ú P s n e b;R$ 52.153,23;;;R$52.153,23;;;R$ 52.153,23;;;R$ 51.942,11;;;R$ 50.833,72;;;R$ 50.833,72;;;R$ 50.833,72;;;R$ 51.167,35;;;R$ 51.167,35;;;R$ 51.167,35;;;R$ 54.843,09;;;R$ 52.759,05;;
o ã ç a ta C;a e r á m e;e d r e v;R$ 687.338,30;;;R$ 698.909,13;;;R$ 698.909,13;;;R$ 699.026,78;;;R$ 796.273,10;;;R$ 846.336,55;;;R$ 848.824,17;;;R$ 880.397,78;;;R$ 881.279,86;;;R$ 881.039,29;;;R$ 914.445,29;;;R$ 914.029,63;;
Página | 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
