Nº;Contrato;Empresa;Data de assinatura/ início da vigência;Objeto;Término da vigência;Valor (R$);Executores e Suplentes
1;15/2014;GAE/DBO/ CONSTRUBAN;10/09/2014;IMPLANTAÇÃO E MANUTEÇÃO DO ATERRO SANITÁRIO DE BRASÍLIA;16/11/2022;R$ 93.551.680,00;ANDREA RODRIGUES DE ALMEIDA / JULIANA FRUTUOSO GOMES / VICTOR BRUZZI MORAIS CANDIDO / ANTÔNIO ADILSON ROSENDO / JOSÉ PAULO LIMA DE LUCENA / LEONARDO YAMADA ARANTES,
2;18/2019;VALOR AMBIENTAL LTDA;04/07/2019;SERVIÇO DE COLETA URBANA – LOTE I;04/07/2024;R$ 136.330.559,96;JOSÉ LÚCIO LOPES / VALDEMIR INÁCIO ATAÍDE / PAULO PEREIRA DIAS / EGMO MÁRIO LOPES DA SILVA / JOAQUINA FONSECA DA SILVA / MARIA VITORIA NAVA SILVA DO CARMO / MAYARA JORDANA BARROS OLIVEIRA SANTOS
3;19/2019;SUSTENTARE SANEAMENTO S/A;05/07/2019;SERVIÇO DE COLETA URBANA – LOTE II;05/10/2024;R$ 91.999.979,92;JOÃO EUDES DOS SANTOS / DIVINO ETERNO RIBEIRO / ALDEMIR FERREIRA TAVARES / EDLEUZA DOS SANTOS FREITAS / CRISTINA LUÍZA DE OLIVEIRA VITOR / SANDRA CORDEIRO DE SOUZA / MARCUS VINICIUS DE RESENDE MAIA LEITE
4;54/2018;VALOR AMBIENTAL LTDA;05/09/2019;MONITORAMENTO E MANUTENÇÃO DA URE;04/09/2021;R$ 24.093.220,92;VINICIUS DE ABREU MENDONÇA / ALLAN ADJUTO CHAVES DE SOUSA / JELINGTON HENRIQUE DE AZEVEDO / JOÃO ALVES DA SILVA
