;DIRETORIAS;;;PREENCHIDOS;;;VAGOS;;;TOTAL;
;PRESIDÊNCIA;;39;;;0;;;39;;
;DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;33;;;0;;;33;;
;DIRETORIA DE LIMPEZA URBANA;;54;;;0;;;54;;
;DIRETORIA DE MODERNIZAÇÃO E GESTÃO TECNOLÓGICA;;18;;;0;;;18;;
;DIRETORIA TÉCNICA;;21;;;0;;;21;;
;ASSESSORIA DE CONSTATAÇÃO;;2;;;0;;;2;;
;TOTAL;;;167;;;0;;;167;
