GALPÃO PRÓPRIO CEILÂNDIA;64,26;61,42;62,41;57,28;73,09;80,96;88,28;104,48;97,08;20,04;105,04;115,08;1.015,82
SUSTENTARE SANEAMENTO;23,12;22,57;24,03;18,9;22,73;25,16;21,71;32,13;22,55;20,04;18,11;15,79;266,84
RECICLE A VIDA;41,14;38,85;38,38;38,38;50,36;55,80;66,57;72,35;74,53;0,00;86,93;99,29;748,98
GALPÃO PRÓPRIO PLANALTINA;0;0;0;0;0;26,71;23,03;31,04;27,09;27,70;26,28;31,11;192,96
PLANALTO;0;0;0;0;0;15,47;13,61;17,65;11,99;13,80;12,48;15,38;100,38
RECICLA MAIS;0;0;0;0;0;11,24;9,42;13,39;15,10;13,90;13,80;15,73;92,58
GALPÃO PRÓPRIO SANTA MARIA;44,84;41;44,31;42,45;47,66;61,42;64,64;64,78;66,88;71,44;62,13;67,83;679,37
R3;44,84;41;44,31;42,45;47,66;61,42;64,64;64,78;66,88;71,44;62,13;67,83;679,37
GALPÃO PRÓPRIO SÃO SEBASTIÃO;24,1;20,7;23,5;20,15;22,45;24,20;23,34;27,80;25,46;23,54;26,62;27,14;301,20
ECOLIMPO;24,1;20,7;23,5;20,15;22,45;24,20;23,34;27,80;25,46;23,54;26,62;27,14;301,20
GALPÃO PRÓPRIO SOBRADINHO;124,62;121,37;123,35;126,3;136,62;130,30;137,49;119,96;122,07;120,47;131,00;118,05;1.509,57
VALOR AMBIENTAL LTDA;76,9;82,45;77,73;83,68;81,76;52,30;57,22;43,01;42,20;45,12;56,36;41,24;739,97
