;UTMB ASA SUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO - ASA SUL;;;;;;;
;Mês;;;Operação e Manutenção;;;Custo por tonelada*;
;Janeiro;;R$ 706.020,94;;;R$ 76,46;;
;Fevereiro;;R$ 695.551,49;;;R$ 76,80;;
;Março;;R$ 716.881,15;;;R$ 76,80;;
;Abril;;R$ 743.457,09;;;R$ 80,03;;
;Maio;;R$ 690.589,27;;;R$ 80,03;;
;Junho;;R$ 648.160,57;;;R$ 80,03;;
;Julho;;R$ 705.959,84;;;R$ 80,03;;
;Agosto;;R$ 709.775,67;;;R$ 80,03;;
;Setembro;;R$ 646.699,22;;;R$ 80,03;;
;Outubro;;R$ 772.700,05;;;R$ 80,03;;
;Novembro;;R$ 837.706,82;;;R$ 80,03;;
;Dezembro;;R$ 772.882,52;;;R$ 80,03;;
;TOTAL;;;R$ 8.646.384,63;;;R$ 950,33;
;Média;;;R$ 720.532,05;;;R$ 79,19;
