;BRITADOS DOADOS;;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/Areia;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;Rachão;;;Total;
;Janeiro;;2.512,80;;8,73;;;2.762,60;;;2.086,31;;;2.860,21;;94,30;;;10.324,95;
;Fevereiro;;2.899,29;;44,68;;;2.142,05;;;2.368,36;;;2.615,91;;303,71;;;10.374,00;
;Março;;2.490,49;;50,14;;;2.555,17;;;2.192,19;;;3.047,55;;344,92;;;10.680,46;
;Abril;;2.210,36;;-;;;2.029,52;;;2.594,87;;;3.409,05;;93,09;;;10.336,89;
;Maio;;4.900,60;;53,17;;;1.356,09;;;2.011,74;;;2.915,83;;-;;;11.237,43;
;Junho;;4.109,93;;7,72;;;1.266,39;;;1.887,40;;;3.425,58;;-;;;10.697,02;
;Julho;;1.975,76;;-;;;2.069,92;;;2.513,37;;;3.657,43;;-;;;10.216,48;
;Agosto;;2.585,55;;-;;;1.137,57;;;2.314,92;;;3.044,03;;-;;;9.082,07;
;Setembro;;778,78;;-;;;1.259,23;;;1.455,27;;;2.818,41;;-;;;6.311,69;
;Outubro;;458,19;;-;;;1.423,62;;;2.003,04;;;2.822,69;;-;;;6.707,54;
;Novembro;;3.168,93;;-;;;1.677,67;;;1.385,29;;;2.975,91;;76,78;;;9.284,58;
;Dezembro;;4.436,75;;-;;;1.448,87;;;1.919,78;;;2.447,00;;-;;;10.252,40;
;TOTAL;;;32.527,43;;164,44;;;21.128,70;;;24.732,54;;;36.039,60;912,80;;;115.505,51;
