;DESPESAS COM ALUGUEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DESPESA;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;;;SET;;OUT;;NOV;DEZ;;;TOTAL;
;Aluguel dos Galpões;;R$ 74.530;;;R$ 74.530;;;R$ 74.530;;;;R$ 32.605;;;R$ 74.530;;;R$ 79.511;;;R$ 124.528;;R$ 74.530;;;R$ 41.925;;R$ 32.605;;R$ 32.605;R$ 32.605;;;R$ 749.034;
;Aluguel da Sede Adm.;;R$ 138.860;;;R$ 138.860;;;R$ 138.860;;;;R$ 138.860;;;R$ 138.860;;;R$ 138.860;;;R$ 138.860;;R$ 138.860;;;R$ 83.316;;R$ 150.864;;R$ 166.487;R$ 174.881;;;R$ 1.686.427;
;Condomínio;;R$ 42.087;;;R$ 42.087;;;R$ 42.087;;;;R$ 42.087;;;R$ 42.087;;;R$ 42.087;;;R$ 42.087;;R$ 42.087;;;R$ 25.252;;R$ 57.609;;R$ 66.776;R$ 66.776;;;R$ 553.111;
;TOTAL MENSAL;;;R$ 255.477;;;R$ 255.477;;;R$ 255.477;;;R$ 213.552;;;R$ 255.477;;;R$ 260.458;;;R$ 305.475;;R$ 255.477;;;R$ 150.493;;R$ 241.078;;R$ 265.868;R$ 274.262;;;R$ 2.988.572;
