;PESO LÍQUIDO POR MÊS (EM TONELADAS);;;;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;;;Remoção PEV;;;Outros;;;Total;
;Janeiro;;1.867,78;;;44.271,49;;;3.204,48;;;74.193,36;;;;123.537,11;
;Fevereiro;;1.900,70;;;42.183,38;;;3.478,54;;;74.932,78;;;;122.495,40;
;Março;;1.718,63;;;49.860,75;;;3.739,38;;;89.031,06;;;;144.349,82;
;Abril;;1.789,89;;;49.712,40;;;3.738,30;;;83.865,61;;;;139.106,20;
;Maio;;1.599,51;;;53.809,71;;;3.665,54;;;71.625,05;;;;130.699,81;
;Junho;;1.556,81;;;54.976,99;;;3.435,28;;;73.546,68;;;;133.515,76;
;Julho;;1.748,40;;;57.028,94;;;3.627,06;;;94.836,92;;;;157.241,32;
;Agosto;;1.680,43;;;59.053,94;;;3.558,76;;;79.089,12;;;;143.382,25;
;Setembro;;1.538,10;;;53.403,05;;;3.321,87;;;73.548,15;;;;131.811,17;
;Outubro;;1.954,93;;;58.621,78;;;3.756,75;;;90.903,78;;;;155.237,24;
;Novembro;;2.140,38;;;56.429,14;;;3.307,93;;;68.922,95;;;;130.800,40;
;Dezembro;;1.996,14;;;53.093,38;;;3.923,21;;;68.647,34;;;;127.660,07;
;TOTAL;;;21.491,70;;;632.444,95;;;42.757,10;;;943.142,80;;;1.639.836,55;
