;;;;TOTAL;;;254,22;;;70,20
GALPÃO PRÓPRIO SOBRADINHO - Cooperativa Cooperdife;;;;Mês;;;Quantidade Mensal Recebida (Ton);;;Quantidade Mensal de Rejeito (Ton)
;;;Janeiro;;;99,26;;;61,78;
;;;Fevereiro;;;114,71;;;53,97;
;;;Março;;;130,97;;;49,40;
;;;Abril;;;119,62;;;52,86;
;;;Maio;;;112,93;;;50,02;
;;;Junho;;;139,50;;;53,22;
;;;Julho;;;113,89;;;69,80;
;;;Agosto;;;118,13;;;71,62;
;;;Setembro;;;110,37;;;71,95;
;;;Outubro;;;115,01;;;79,76;
;;;Novembro;;;115,67;;;91,44;
;;;Dezembro;;;157,54;;;98,61;
;;;;TOTAL;;;1.447,60;;;804,43
GALPÃO PRÓPRIO Varjão - Cooperativa CRV;;;;Mês;;;Quantidade Mensal Recebida (Ton);;;Quantidade Mensal de Rejeito (Ton)
;;;Janeiro;;;69,40;;;5,43;
;;;Fevereiro;;;63,69;;;6,20;
;;;Março;;;73,75;;;6,89;
;;;Abril;;;62,31;;;5,96;
;;;Maio;;;60,21;;;4,68;
;;;Junho;;;62,04;;;6,17;
;;;Julho;;;64,51;;;4,52;
;;;Agosto;;;69,19;;;4,55;
;;;Setembro;;;65,82;;;6,97;
;;;Outubro;;;73,92;;;5,72;
;;;Novembro;;;96,99;;;5,94;
;;;Dezembro;;;103,26;;;8,67;
;;;;TOTAL;;;865,09;;;71,70
