COLETA SELETIVA (EM TONELADAS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total;Média
Lote IV - Sustentare;2.252,53;1.996,79;2.025,46;2.001,17;1.955,24;1.364,03;1.167,21;1.581,34;1.826,25;176,85;;;16.347;1.635
Lote I;;;;;;;;;;702,59;1.169,77;1.265,07;3.137;1.046
Lote II;;;;;;;;;;282,72;392,36;452,46;1.128;376
Lote III;;;;;;;;;;348,50;491,38;569,59;1.409;470
Total;2.252,53;1.996,79;2.025,46;2.001,17;1.955,24;1.364,03;1.167;1.581;1.826;1.511;2.054;2.287;22.021;1.835
