;;;PONTOS DE ENTREGA VOLUNTÁRIA - PEVS, NAS UNIDADES DE CONSUMO .;;;;
39/2022;NEOENERGIA DISTRIBUIÇÃO BRASILIA S.A.;26/08/2022;PRESTAÇÃO DO SERVIÇO PÚBLICO DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA AO CONSUMIDOR E DEMAIS REGULAMENTOS EXPEDIDOS PELA AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA – ANEEL;;25/08/2027;GLOBAL: R$ 634.420,00;BRUNO DOS SANTOS NEVES E ANA SOFIA CAVALCANTI JUCÁ
40/2022;NP TECNOLOGIA E GESTÃO DE DADOS LTDA;13/09/2022;FORNECIMENTO DA FERRAMENTA DE PESQUISAS E COMPARAÇÃO DE PREÇOS PRATICADOS PELA ADMINISTRAÇÃO PÚBLICA, CHAMADA BANCO DE PREÇOS;;13/09/2023;GLOBAL: R$ 9.635,00;VITOR SIMÕES COELHO E MARIA DE FÁTIMA DO NASCIMENTO DIAS
43/2022;DEDETIZADORA CASA LIMPA LTDA ME;14/12/2022;PRESTAÇÃO DE SERVIÇOS DE CONTROLE DE VETORES E PRAGAS URBANAS, GRUPO 39.78,;;14/12/2023;GLOBAL: R$ 467,509;LIZANDRA MARIA DA CRUZ MAIA E EDSON RODRIGUES DA SILVA
