1º TRIMESTRE;;;;;;;;;
CURSO;;;Aulões da Egov: Novo Manual de Comunicação Oficial do Governo do Distrito Federal – Documentos Eletrônicos;;EGOV;;;2;
;;Acordo Ortográfico da Língua Portuguesa;;;;;1;;
;;Atualização em Gramática da Língua Portuguesa;;;;;1;;
;;Media training;;;;;1;;
;;Medidas preliminares de Tomada de Contas Especial (TCE);;;;;1;;
;;Lei de Licitações e Contratos – Lei nº 14.133/2021;;;;;2;;
;;Metodologias ativas em videoconferências e reuniões;;;;;1;;
;;Gestão e fiscalização de contratos;;;;;1;;
;;Gestão de processos;;;;;1;;
SEMINÁRIO;;I Seminário da Lei de Licitações e Contratos (Lei nº 14.133/2021) - Mudanças e desafios sob a visão dos órgãos de controle;;;;;1;;
CONGRESSO;;19º Congresso Brasileiro de Pregoeiros e Agentes de Contratação;;;INSTITUTO NEGÓCIOS PÚBLICOS;;4;;
CURSO;;Fiscalização de projetos e obras de engenharia;;;ENAP;;1;;
CURSO;;Aulões da Egov: Novo Manual de Comunicação Oficial do Governo do Distrito Federal – Documentos Eletrônicos;;;EGOV;;2;;
;CERTIFICADOS EMITIDOS NO 1º TRIMESTRE;;;;;;;17;
