;;;;JAN;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;;SET;OUT;NOV;DEZ;Total;;Média;
;Lote I;;6,39;;;7,61;;6,24;;;6,30;;;4,89;;;5,37;;;6,17;;;6,63;;4,84;6,55;6,08;6,71;73,78;;6,15;
;Lote II;;0,45;;;0,11;;0,30;;;0,52;;;0,50;;;0,75;;;1,09;;;0,90;;0,60;1,26;0,89;0,69;8,06;;0,67;
;Lote III;;0,00;;;0,00;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;0,00;0,00;0,00;0,00;-;;-;
;Total;;;6,840;;7,720;;;6,540;;;6,820;;;5,390;;;6,120;;;7,260;;7,530;;5,440;7,810;6,970;7,400;81,84;;6,82;
