;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;Média;
;Lote I;;9.028,95;8.668,09;8.999,88;8.979,36;8.931,32;8.612,97;9.277,26;9.285,31;8.646,49;9.299,43;8.955,24;8.569,65;107.253,95;8.937,83;
;Lote II;;4.958,92;4.748,33;4.958,11;4.951,95;4.957,69;4.748,36;5.123,13;5.117,97;4.735,63;4.961,05;4.934,83;4.756,18;58.952,15;4.912,68;
;Lote III;;4.028,44;3.578,91;3.610,77;4.083,06;3.882,81;3.936,82;4.229,29;4.191,74;3.685,69;3.916,58;3.460,19;3.968,68;46.572,98;3.881,08;
;Total;;18.016,31;16.995,33;17.568,76;18.014,37;17.771,82;17.298,15;18.629,68;18.595,02;17.067,81;18.177,06;17.350,26;17.294,51;212.779,08;17.731,59;
