MÊS;QUANTIDADE
JANEIRO;10
FEVEREIRO;6
MARÇO;3
ABRIL;14
MAIO;13
JUNHO;15
JULHO;9
AGOSTO;12
SETEMBRO;9
OUTUBRO;5
NOVEMBRO;15
DEZEMBRO;6
TOTAL;117
