Varrição mecanizada de vias;R$ 142.952,25;R$ 139.273,05;R$ 145.021,80;R$ 117.504,45;R$ 183.576,75;R$ 179.131,05;R$ 180.894,00;R$ 184.266,60;R$ 189.018,90;R$ 202.232,16;R$ 183.899,04;R$ 187.792,80
Pintura Mecanizada de Meio-Fio e Frisagem;R$ 285.243,60;R$ 295.656,26;R$ 257.949,83;R$ 271.360,07;R$ 312.379,61;R$ 297.233,93;R$ 312.695,15;R$ 303.386,86;R$ 303.386,86;R$ 305.632,16;R$ 333.477,54;R$ 333.477,54
Limpeza Pós Eventos e Coleta de Resíduos de Caixa de Gordura;R$ 75.459,69;R$ 150.919,38;R$ 150.919,38;R$ 150.919,38;R$ 147.900,99;R$ 150.919,38;R$ 148.202,83;R$ 150.919,38;R$ 150.919,38;R$ 159.401,36;R$ 159.401,36;R$ 159.401,36
Unidade de Transbordo de Rejeitos e/ou Resíduos;R$ 105.227,91;R$ 100.730,79;R$ 107.299,89;R$ 93.071,43;R$ 271.832,14;R$ 246.363,02;R$ 265.812,86;R$ 259.369,87;R$ 250.420,00;R$ 186.779,05;R$ 106.736,49;R$ 120.533,63
TOTAL MENSAL;R$ 6.152.815,34;R$ 5.984.440,75;R$ 6.184.368,56;R$ 5.686.444,90;R$ 5.777.779,56;R$ 5.820.447,44;R$ 6.010.121,05;R$ 6.026.554,26;R$ 6.259.655,00;R$ 6.889.270,29;R$ 6.576.055,02;R$ 6.921.349,39
TOTAL 2020;R$ 74.289.301,56;;;;;;;;;;;
