25;21/2017;G10 DISTRIBUIÇÃO LTDA – EPP;26.07.2017;Locação de galpão para a instalação de Centro de Triagem SCIA, Guará, Brasília/DF;26.07.2019;MENSAL: R$ 20.900,00 TOTAL: R$ 501.600,00;Maria Nilva Almeida Prado/ Maria do Socorro Bezerra Viana;Vigente
26;22/2017;JR TURISMO E ECOLOGIA LTDA EIRELI EPP;10.08.2017;Locação de galpão para a instalação de Centro de Triagem SIA, Brasília/DF;10.08.2018;MENSAL: R$ 35.000,00 TOTAL: R$ 420.000,00;Valdemir Inácio Ataíde/ Elizenil Santos Bispo;Encerrado
27;23/2017;INSTITUTO NEGÓCIOS PÚBLICOS DO BRASIL – ESTUDOS E PESQUISAS NA ADMINISTRAÇÃO PÚBLICA (INP/LTDA);30.08.2017;CONTRATOSGOV;30.08.2018;TOTAL: R$ 7.990,00;Lucas Rocha Dourado da Silva/ Quezia Alcantara Vila Nova;Encerrado
28;27/2017;EMPRESA SÃO GERALDO MATERIAIS DE CONSTRUÇÃO LTDA;02.10.2017;Locação de galpão para a instalação de Centro de Triagem, localizado no Setor de Indústria e Abastecimento (SIA), Brasília/DF;02.10.2019;MENSAL: R$ 30.000,00 ANUAL: R$ 372.248,88;Maria Eunice Pereira Bessa/ Maria da Guia Pereira Azevedo;Vigente
29;28/2017;FREITAS TERRAPLENAGEM E PAVIMENTAÇÃO LTDA;06.10.2017;Locação do terreno com galpão para a instalação de Centro de Triagem, na Ceilândia – DF;06.10.2018;MENSAL: R$ 27.600,00 ANUAL: R$ 331.200,00;Ivani Maria de Souza da Conceição/ Eunice de Freitas Rufino de Moura;Encerrado
30;30/2017;NAVARRO PROCESSAMENTO DE DADOS LTDA – ME;17.10.2017;Locação de galpão para a instalação de Centro de Triagem no Setor de Armazenamento e Abastecimento Norte (SAAN), Brasília/DF;17.10.2019;MENSAL: R$ 29.700,00 ANUAL: R$ 356.400,00;Gessival Soares Ribeiro/ Adalberto Nunes Caetano;Vigente
31;36/2017;HBL – CARIMBOS E PLACAS, INDÚSTRIA E COMÉRCIO LTDA;23/11/2017;Contratação de empresa para prestação de serviço de confecção e fornecimento, sob demanda, de carimbos personalizados, pelo período de 12 meses;23.11.2018;TOTAL: R$ 5.067,90;Maria de Fátima do Nascimento Dias/ Estelamar de Oliveira;Encerrado
32;01/2018;FC MULTISERVICE LTDA-ME;11.01.2018;Adequação de instalação elétrica nos galpões;11.07.2018;TOTAL: R$ 47.341,34;Marco Túlio dos Santos/ Maria Luiza de Oliveira;Rescindido
33;02/2018;CWF Instalações Elétricas Ltda;09.01.2018;Adequação de instalação elétrica nos galpões;09.07.2018;TOTAL: R$ 55.300,00;Marco Túlio dos Santos/ Maria Luiza de Oliveira;Encerrado
34;19/2018;GUSTAVO RORIZ;19.01.2018;Aquisição de Prensa;19.03.2018;TOTAL: R$ 418.500,00;Marco Túlio dos Santos/ Maria Luiza de Oliveira;Encerrado
35;25/2018;VOETUR TURISMO;14.03.2018;Serviço de Agenciamento e Passagens Aéreas;14.03.2019;TOTAL: R$ 25.000,00;David de Brito Peixoto/ Valéria Aparecida Queiroz Cossenzo;Vigente
36;26/2018;ELDEX DISTRIBUIDORA DE JORNAIS E REVISTAS LTDA–ME;13.04.2018;Fornecimento diário de jornais;16.04.2019;TOTAL: R$ 466,67;Márcio Godinho Oliveira/ Patrícia Kelly Kavamoto Vieira;Vigente
