Distribuição de materiais por mês;;;;;;
MÊS;DIVERSOS;METAL;PAPEL;PLÁSTICO;VIDRO;TOTAL
Janeiro;43;240;1.197;862;470;2.812
Fevereiro;47;321;1.020;887;347;2.622
Março;47;191;1.087;691;366;2.382
Abril;2;35;110;113;16;276
Junho;4;33;86;112;16;250
