;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
NURES (Psul);14.885,56;13.769,98;16.260,23;13.239,54;7.807,78;10.972,90;13.852,60;12.568,38;13.233,14;15.807,42;15.735,84;15.675,24;163.808,61;13.650,72
NUCOP (L4 Sul);6.999,29;7.358,15;7.241,30;4.744,37;2.862,75;4.572,95;4.805,43;6.046,20;6.647,35;6.684,39;2.681,25;3.969,64;64.613,07;5.384,42
Total;21.884,85;21.128,13;23.501,53;17.983,91;10.670,53;15.545,85;18.658,03;18.614,58;19.880,49;22.491,81;18.417,09;19.644,88;228.421,68;19.035,14
