;;;;JAN;;FEV;;MAR;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;OUT;NOV;DEZ;Total;;;Média;
;Lote I;;2,0;;;2,0;;2,0;;2,0;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;2,0;2,0;2,0;24,0;;;2,0;
;Lote II;;1,0;;;1,0;;1,0;;1,0;;1,0;;;1,0;;;1,0;;;1,0;;;1,0;;1,0;1,0;1,0;12,0;;;1,0;
;Lote II;;1,0;;;1,0;;1,0;;1,0;;1,0;;;1,0;;;1,0;;;1,0;;;1,0;;1,0;1,0;1,0;12,0;;;1,0;
;Total;;;4,0;;4,0;;4,0;;4,0;;;4,0;;;4,0;;;4,0;;;4,0;;;4,0;4,0;4,0;4,0;48,0;;;4,0;
