;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;;SET;;OUT;;NOV;;DEZ;;Total;;Média;
;Asa Sul;6.228,57;;4.274,58;;3.491,98;;4.928,31;;4.577,03;;3.637,56;;4.004,03;;3.955,51;;4.964,73;;5.358,00;;4.130,28;;4.368,47;;;53.919,05;;4.493,25;
;Sobradinho;10.787,07;;10.118,67;;9.866,19;;9.870,51;;9.310,82;;8.575,81;;9.176,03;;9.266,56;;8.858,52;;10.043,22;;10.976,71;;11.744,32;;;118.594,43;;9.882,87;
;Ceilândia;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;;-;;-;
;Brazlândia;1.311,20;;1.104,92;;1.132,99;;1.111,05;;1.009,70;;887,01;;985,58;;1.041,06;;1.082,18;;1.110,82;;1.194,23;;1.219,08;;;13.189,82;;1.099,15;
;Gama;17.953,80;;15.306,22;;17.089,69;;11.559,77;;15.277,57;;15.276,52;;16.994,22;;16.238,60;;13.986,08;;17.139,06;;19.250,57;;18.769,97;;;194.842,07;;16.236,84;
;Total;;36.280,64;;30.804,39;;31.580,85;;27.469,64;;30.175,12;;28.376,90;;31.159,86;;30.501,73;;28.891,51;;33.651,10;;35.551,79;;36.101,84;;380.545,37;;31.712,11;
