13;Junho;85ª Palestra: Avaliação de Viabilidade Regulatória em Relação às Diversas Formas de Resíduos Sólidos com Office L'Eau;Cristina de Saboya Gouveia Santos;70;Servidores SLU e convidados
27;;86ª Palestra: Agenda Ambiental na Administração Pública (A3P) no SLU;Luana Cristeli e Rondinele Mota;62;
11;Julho;87ª Palestra: ProteGEEr – Colaboração para a proteção do clima na gestão dos resíduos sólidos urbanos;Heliana Kátia Paulo Celso Helianah Cardoso Jan Janssen;87;Servidores SLU e convidados
25;;88ª Palestra: Educação Financeira Pessoal;Alexandre Michel (BRB);62;
6 a 8;Agosto;"Comemoração 57 anos SLU: 6/8 - Mesa de Conversa Lixo Zero com Grandes Geradores; 7/8 - Roda de Conversa com Catadores 8/8 - Mesa Lixo Zero para Quadra e Condomínios";"6/8 - Paulo Melo Filho 7/8 - Cleusimar Andrade; Aline Sousa; Andrea Portugal 8/8 - Ana Galdstein; Rachel Andrade; Kadmo Cortes";155;Servidores do SLU e convidados
9;;89ª Palestra: O Efeito Pingue-Pongue: da Política Nacional de Resíduos à Política Distrital;Igor Brandão (UNB);60;
15;;90ª Palestra: Interfaces da limpeza e da drenagem urbana no DF - As consequências da MP nº 844/2018 marco legal do saneamento básico no Brasil;Marcos Montenegro (Adasa);49;
22;;91ª Palestra: Fundamentos do Cooperativismo;Hélio Pontes - Remy Gorja Neto (OCDF);51;
29;;92º Palestra: Mapeamento de Processos do SLU;Bárbara Beatriz e Mayara Menezes;45;
12;Setembro;93º Instrução nº 5/2017 - Aspectos Gerais e Instrumento de Mediação de Resultados (IMR);André Marques Luciano Melo;57;Servidores do SLU e convidados
19;Setembro;94º Recuperação da Área Degradada do Antigo Lixão da Estrutural;Elisa Meirelles Paulo Afonso José Henrique;52;Servidores do SLU e convidados
3;Outubro;95º Controle Interno: Governança;André Marques;35;Servidores do SLU
