;BRITADOS PRODUZIDOS NA RECICLAGEM DO RCC (TONELADAS);;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;;;Rachão;;;Total;
;Janeiro;;7.564,52;;;-;;;1.643,64;;;2.037,97;;;3.263,26;;;346,72;;;;14.856,11;
;Fevereiro;;10.812,61;;;-;;;1.573,70;;;2.129,00;;;3.756,81;;;45,83;;;;18.317,95;
;Março;;9.186,35;;;-;;;3.156,95;;;2.278,03;;;3.522,08;;;928,78;;;;19.072,19;
;Abril;;8.086,05;;;-;;;4.001,30;;;1.992,95;;;3.461,51;;;1.333,82;;;;18.875,63;
;Maio;;13.399,29;;;-;;;2.807,16;;;2.708,51;;;4.038,05;;;732,48;;;;23.685,49;
;Junho;;11.718,98;;;-;;;1.570,92;;;1.953,11;;;2.926,50;;;145,22;;;;18.314,73;
;Julho;;13.389,94;;;-;;;1.819,01;;;2.191,90;;;3.319,92;;;1.287,02;;;;22.007,79;
;Agosto;;8.322,34;;;-;;;3.250,76;;;1.822,21;;;2.191,23;;;710,68;;;;16.297,22;
;Setembro;;8.546,06;;;-;;;3.462,00;;;2.112,82;;;2.801,72;;;11,18;;;;16.933,78;
;Outubro;;6.936,73;;;-;;;2.715,31;;;2.017,63;;;2.567,73;;;244,80;;;;14.482,20;
;Novembro;;6.335,56;;;-;;;1.266,36;;;1.683,91;;;2.348,81;;;247,19;;;;11.881,83;
;Dezembro;;4.249,65;;;-;;;2.075,39;;;1.917,10;;;2.385,04;;;948,46;;;;11.575,64;
;TOTAL;;;108.548,08;;;-;;;29.342,50;;;24.845,14;;;36.582,66;;;6.982,18;;;206.300,56;
