;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
NURES (Psul);3.475,69;3.153,25;3.258,80;3.224,35;1.888,20;3.104,24;3.339,78;3.200,32;3.441,88;3.691,70;3.453,16;3.396,02;38.627,39;3.218,95
NUCOP (L4 Sul);2.530,06;2.715,04;2.629,95;1.846,44;1.032,88;1.616,82;1.657,48;2.057,22;2.508,02;2.508,94;931,99;1.312,79;23.347,63;1.945,64
Total;6.005,75;5.868,29;5.888,75;5.070,79;2.921,08;4.721,06;4.997,26;5.257,54;5.949,90;6.200,64;4.385,15;4.708,81;61.975,02;5.164,59
