ENTREVISTAS CONCEDIDAS;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
Emissoras de TV;7;5;5;7;7;6;1;8;4;3;3;2
Jornais;1;0;0;0;0;0;0;0;0;0;0;0
Portais;3;1;1;0;1;0;0;0;0;0;0;0
Emissoras de Rádio;1;2;2;1;1;0;0;0;0;0;0;0
Total parcial;12;8;8;8;9;6;1;8;4;3;3;2
TOTAL;72;;;;;;;;;;;
