;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;;SET;;OUT;;NOV;;DEZ;;Total;;Média;
;Lote I;;11;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;;132;;11;
;Lote II;;15;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;14;;;178;;15;
;Lote III;;11;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;;131;;11;
;Total;;37;;36;;37;;37;;37;;37;;37;;37;;37;;37;;2;;36;;441;;37;
