;RESULTADOS DOS CONTRATOS DE TRIAGEM - 2025 (CONTRATO NOVO);;;;;;;
;Cooperativa;;;Soma de Peso (Ton);;;Soma de Total Comercializado (R$);
Ambiente;;;866,76;;;R$ 412.446,53;;
Apcorc;;;3.609,45;;;R$ 2.584.901,68;;
Cataguar;;;1.835,99;;;R$ 1.741.344,45;;
Construir;;;855,03;;;R$ 477.418,90;;
Coopativa;;;274,99;;;R$ 158.707,58;;
Coopercap;;;1.830,32;;;R$ 1.119.615,39;;
Cooperdife;;;1.009,80;;;R$ 398.838,81;;
Coopere;;;683,50;;;R$ 496.211,25;;
Cooperfé;;;1.158,44;;;R$ 953.144,18;;
Cooperlimpo;;;1.409,28;;;R$ 31.758.580,90;;
Cooperlivre;;;238,25;;;R$ 159.199,44;;
Coopernoes;;;1.829,44;;;R$ 1.156.812,46;;
Coorace;;;460,69;;;R$ 226.906,07;;
Cortrap;;;934,62;;;R$ 534.721,79;;
CRB;;;333,03;;;R$ 180.849,62;;
CRV;;;316,52;;;R$ 238.436,14;;
CTELS;;;321,63;;;R$ 194.047,00;;
Ecolimpo;;;437,99;;;R$ 365.000,85;;
Flor do Cerrado;;;281,11;;;R$ 195.605,48;;
Nova Superação;;;527,11;;;R$ 245.604,86;;
Plasferro;;;1.749,79;;;R$ 1.737.091,09;;
R3;;;590,60;;;R$ 531.191,35;;
Recicla Brasília;;;880,19;;;R$ 558.273,52;;
Recicla Mais;;;638,35;;;R$ 499.348,64;;
Recicla Mais Brasil;;;732,78;;;R$ 529.793,86;;
Recicle a Vida;;;3.075,50;;;R$ 4.504.008,95;;
Reciclo;;;274,94;;;R$ 157.482,98;;
Reciconstru;;;269,88;;;R$ 130.629,98;;
Renascer;;;877,06;;;R$ 572.410,95;;
Renove;;;2.039,92;;;R$ 2.493.812,45;;
Vencendo Obstáculos;;;276,59;;;R$ 158.181,30;;
;Total Geral;;;30.619,56;;;R$ 55.470.618,43;
