;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;AGO;SET;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;11,04;;;6,59;;;5,60;;;5,49;;;6,23;;;4,62;;;8,03;;;5,82;4,27;4,87;;4,28;;;4,720;;;;71,56;;;5,96;
;Lote II;;0,84;;;0,78;;;0,63;;;0,63;;;0,56;;;0,30;;;1,16;;;0,54;0,54;0,47;;0,71;;;0,610;;;;7,77;;;0,65;
;Lote III;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;0,00;0,00;;0,000;;;0,000;;;;-;;;-;
;Total;;;11,880;;;7,370;;;6,230;;;6,120;;;6,790;;;4,920;;;9,190;;6,360;4,810;5,340;;;4,990;;;5,330;;;79,33;;;6,61;
