administrativas: Águas Claras, Ceilândia, Cidade Estrutural, Park Way (Quadras 4, 5 e 6), Taguatinga e Vicente
Pires. A dispensa de licitação foi publicada no Diário Oficial do DF, no dia 29 de junho de 2015. O contrato então
vigente se encerrou no dia 30 de junho de 2015, sem possibilidade de prorrogação.
A contratação para os serviços que teve início no dia 1º de julho englobou a operação e manutenção da
Usina de Triagem e Compostagem de Ceilândia. Ficou assegurada, também, a compostagem, no pátio dessa
unidade, da parcela de resíduos orgânicos processados na Usina de Triagem e Compostagem da Asa Sul.
"""Analisamos três orçamentos e fechamos com a empresa que já opera esses serviços - Valor Ambiental,"
"optando pelo menor valor e evitando a descontinuidade do serviço"", informou o Diretor Técnico do Serviço de"
Limpeza Urbana (SLU), Paulo Celso dos Reis.
O novo acordo teve valor total estimado de R$ 40.852.908,54 pelo período de seis meses ou até a
finalização do procedimento licitatório regular, anunciado em 21 de maio e suspenso pelo Tribunal de Contas do
DF.
