COOPERE;39,40;34,14;37,65;37,31;39,05;37,33;36,33;41,76;39,46;42,17;39,83;41,40;465,83
PLASFERRO;10,97;16,59;22,20;14,09;9,43;5,35;13,55;15,65;18,54;18,77;29,66;29,05;203,85
IRR SCIA NOVO;459,22;465,96;567,38;513,32;546,49;505,48;481,97;550,41;353,62;328,52;356,10;285,00;5.413,47
SUMA BRASIL;26,79;10,38;3,34;0,00;17,32;20,15;2,77;22,63;2,82;34,57;104,92;192,21;437,90
VALOR AMBIENTAL LTDA;402,26;419,68;527,69;479,79;495,81;455,08;450,50;503,69;328,02;265,44;228,29;68,51;4.624,76
CORTRAP;30,17;35,90;36,35;33,53;33,35;30,25;28,70;24,10;22,78;28,51;22,89;24,28;350,81
IRR SAAN;169,31;152,00;184,01;198,82;145,46;78,83;78,80;91,70;82,77;73,46;74,31;46,09;1.375,56
SUMA BRASIL;11,35;13,90;24,65;11,45;5,83;0,00;0,00;5,51;0,00;0,00;9,99;0,00;82,68
VALOR AMBIENTAL LTDA;157,96;138,10;159,36;187,37;139,63;78,83;78,80;86,19;82,77;73,46;64,32;46,09;1.292,88
IRR BRAZLÂNDIA;55,93;53,41;71,34;53,03;49,86;42,29;37,72;40,51;29,76;25,74;20,59;24,68;504,86
CRB;55,93;53,41;71,34;53,03;49,86;42,29;37,72;40,51;29,76;25,74;20,59;24,68;504,86
IRR PARANOÁ;110,59;91,55;87,81;84,86;85,00;81,72;81,13;84,98;80,90;86,93;92,54;104,98;1.072,99
RECICLA MAIS BRASIL;39,55;36,15;36,46;34,96;35,77;37,26;29,68;31,63;30,91;35,73;36,90;34,95;419,95
RECICLA MAIS BRASIL II;71,04;55,40;51,35;49,90;49,23;44,46;51,45;53,35;49,99;51,20;55,64;70,03;653,04
SIA – TRECHO 17;407,19;458,44;377,75;539,43;577,89;566,56;641,34;554,31;384,19;427,05;433,19;412,73;5.780,08
SUMA BRASIL;305,90;304,93;276,77;394,94;464,31;417,15;524,17;415,98;268,96;342,00;403,93;373,15;4.492,19
VALOR AMBIENTAL LTDA;79,87;136,33;81,28;130,13;95,53;130,29;99,32;119,54;97,93;68,63;11,86;21,06;1.071,76
RENASCER;21,42;17,18;19,70;14,36;18,06;19,12;17,85;18,80;17,30;16,42;17,40;18,52;216,13
