;PESO LÍQUIDO POR MÊS (EM TONELADAS);;;;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;;;Remoção PEV;;;Outros;;;Total;
;Janeiro;;2.066,87;;;53.039,46;;;3.760,73;;;73.234,42;;;;132.101,48;
;Fevereiro;;2.844,43;;;48.610,10;;;3.493,90;;;74.037,93;;;;128.986,36;
;Março;;3.228,26;;;53.590,82;;;3.769,09;;;77.218,65;;;;137.806,82;
;Abril;;3.037,64;;;56.942,07;;;3.742,22;;;81.712,01;;;;145.433,94;
;Maio;;2.803,67;;;57.554,44;;;4.229,55;;;78.657,66;;;;143.245,32;
;Junho;;2.659,86;;;54.806,37;;;3.526,63;;;71.949,31;;;;132.942,17;
;Julho;;2.909,32;;;55.420,10;;;4.350,33;;;83.342,05;;;;146.021,80;
;Agosto;;2.692,82;;;54.047,51;;;4.036,43;;;81.228,99;;;;142.005,75;
;Setembro;;2.843,99;;;52.652,89;;;3.987,41;;;89.938,17;;;;149.422,46;
;Outubro;;2.989,12;;;55.656,12;;;5.161,44;;;90.561,53;;;;154.368,21;
;Novembro;;2.965,68;;;53.050,68;;;4.387,84;;;76.581,12;;;;136.985,32;
;Dezembro;;3.380,30;;;48.282,34;;;5.050,45;;;73.987,22;;;;130.700,31;
;TOTAL;;;34.421,96;;;643.652,90;;;49.496,02;;;952.449,06;;;1.680.019,94;
