;Locais de Maior Incidência de inoperatividade:;;;;
;RA;;;Quantidade de Papa-lixo;
Sol Nascente/Pôr do Sol;;;33;;
Vicente Pires;;;10;;
São Sebastião;;;9;;
Recanto das Emas;;;7;;
SCIA;;;7;;
