;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;SET;;OUT;;NOV;;DEZ;;Total;;;Média;
;Lote I;;22.557,55;;19.934,86;;20.424,01;;21.267,41;;19.750,02;;17.973,03;;19.394,22;;19.510,02;18.952,12;;22.129,96;;22.416,42;;24.485,63;;248.795,25;;;20.732,94;
;Lote II;;18.722,00;;16.455,44;;17.005,73;;17.042,37;;15.657,47;;14.645,19;;15.971,52;;15.759,23;15.248,31;;17.354,37;;18.207,62;;20.016,37;;202.085,62;;;16.840,47;
;Lote III;;25.811,50;;23.091,04;;23.558,64;;23.467,95;;22.209,18;;20.327,33;;21.901,19;;21.851,17;21.319,76;;24.401,09;;24.792,53;;26.562,16;;279.293,54;;;23.274,46;
;Total;;67.091,05;;59.481,34;;60.988,38;;61.777,73;;57.616,67;;52.945,55;;57.266,93;;57.120,42;55.520,19;;63.885,42;;65.416,57;;71.064,16;;730.174,41;;;60.847,87;
