Pessoal ASB, URE e Usinas;osiP ed lacsiF;aniuqáM ed rodarepO;atsirotoM;sodagerracnE;etnevreS;lanoicarepO railixuA;ovitartsinimdA laosseP;oriehnegnE;megairT /serodataC;leniaP ed rodarepO;lanoicarepO rodatneirO;oãçnetunaM ed railixuA;atsicirtelE;rodadloS;ocinâceM;lanoicarepO etnereG;açnarugeS ohlabart ed ocincéT od;ocincéT etnetsissA;megaseP ed lacsiF;/orierdeP odafiraxomlA /rodaval/rotniP .xuA/aigiV;ocimíuQ;latoT
Operação e Manutenção URE - Valor Ambiental;61;15;23;1;28;1;3;1;0;0;1;2;1;2;3;1;1;0;1;3;1;149
Sustentare - Usina L4 Sul;0;6;0;1;17;0;1;1;0;3;1;6;3;3;5;1;2;1;0;0;0;51
Valor Ambiental - Usina Psul;0;12;18;1;35;3;1;0;0;3;0;11;3;3;6;1;2;0;3;11;1;114
GAE - Operação e Manutenção ASB;3;19;14;6;5;30;3;2;0;0;0;2;1;0;1;0;1;0;4;6;0;97
Hydros - Tratamento de chorume ASB;0;8;0;2;0;4;5;0;0;0;0;1;0;0;0;1;0;0;0;0;1;22
TOTAL;64;60;55;11;85;38;13;4;0;6;2;22;8;8;15;4;6;1;8;20;3;433
