;PRINCIPAIS COMPRADORES DE MATERIAIS RECICLÁVEIS NO PERÍODO DE JANEIRO A DEZEMBRO DE 2025. (CONTRATO NOVO);;;
;Comprador;Soma de Peso (kg);Representação;
CENTCOOP;;9.748.987,85;31,84%;
CAPITAL RECICLAVEIS;;8.651.514,86;28,26%;
MASSFIX COMERCIO DE SUCATAS DE VIDROS LTDA;;1.093.101,00;3,57%;
LRS RECICLAGEM LTDA;;916.505,00;2,99%;
ME COMERCIO DE PAPELAO LTDA - ME;;732.800,00;2,39%;
