EMPRESA;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
CEB;R$ 48.964;R$ 54.195;R$ 48.302;R$ 48.656;R$ 48.947;R$ 45.700;R$ 43.260;R$ 45.714;R$ 47.962;R$ 38.341;R$ 57.913;R$ 57.193;R$ 585.146
Caesb;R$ 14.295;R$ 16.241;R$ 13.661;R$ 13.289;R$ 10.625;R$ 12.028;R$ 11.209;R$ 14.402;R$ 14.052;R$ 21.633;R$ 17.469;R$ 14.124;R$ 173.027
Telefonia Fixa;R$ 5.974;R$ 6.491;R$ 6.223;R$ 5.989;R$ 5.791;R$ 6.080;R$ 6.575;R$ 5.627;R$ 5.613;R$ 5.322;R$ 5.560;R$ 5.888;R$ 71.132
Telefonia Móvel;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -
TLP;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -;R$ -
IPTU;R$ -;R$ -;R$ -;R$ -;R$ -;R$ 120.612;R$ -;R$ -;R$ 35.970;R$ -;R$ -;R$ -;R$ 156.582
Total mensal;R$ 69.232;R$ 76.927;R$ 68.185;R$ 67.933;R$ 65.363;R$ 184.419;R$ 61.044;R$ 65.742;R$ 103.597;R$ 65.296;R$ 80.942;R$ 77.205;R$ 985.886
