INSTITUIÇÃO;;ENDEREÇO;CONTATO;;EQUIPAMENTOS;TERRENO;;Nº CATADORES
Brasília;;;;;;;;
1;APCORB;Usina do SLU/NUIREL SUL - L4 SUL;Alessandra;8508-2071;3 prensas, 1 esteira vide CDT;Usina Asa Sul e Galpão só cobertura e piso SLU de 1.350m²;;98
2;RECICLA BRASÍLIA;SGON Q. 05 Lote 23 DL NORTE;Roque;8562-8447;1 prensa, 1 caminhão vide CDT;Galpão SLU 700m²;;35
3;ACAPAS;SGON Q. 05 Lote 23 DL NORTE;Luzia;9964-9567;1 caminhão;Galpão SLU 700m²;;25
4;ACOPLANO;SCIA Q. 13 Cj. 3 Lote 9 Cidade do Automóvel;Socorro;8434-8831;sem equipamentos;Galpão fechado SEDEST Cid. Automóvel;;8
5;AGEPLAN;UnB próximo às tendas;Francisco;8170-5587;vide CDT;área sedida pela UnB de 400m²;;35
6;CRV;Q. 02 Cnj. D Varjão;Ana Carla;9280-5328;sem equipamentos;Galpão fechado RA Varjão 510m²;;25
7;COOPERE;Estrutural - Aterrro do Jóquei;Adriana;9636-3498;sem equipamentos vide CDT;Aterro do Jóquei;;300
8;AMBIENTE;Estrutural - Aterrro do Jóquei;Ana Cláudia;8627-0863;3 prensas e 1 esteira vide CDT;Aterro do Jóquei;;600
9;PLASFERRO;Estrutural - Aterrro do Jóquei;Moisés;3464-6785;1 prensa e 1 caminhão vide CDT;Aterro do Jóquei;;25
10;COORACE;Estrutural - Aterrro do Jóquei;Lúcia;8142-0067;2 prensas e 1 caminhão vide CDT;Aterro do Jóquei;;300
11;CONSTRUIR;Estrutural - Aterrro do Jóquei;Conceição;9397-7173;vide CDT;Aterro do Jóquei;;200
12;COOPERNOES;Estrutural - Aterrro do Jóquei;Alex;8154-4768;1 prensa e 1 caminhão vide CDT;Aterro do Jóquei;;20
13;COOPATIVA;S.I.A Trecho 17 via I 4 lt 1660/1700;Edson;9248-6050;vide CDT;Galpão só cobertura GDF 1.500m²;;30
14;COORTRAP;SCIA Q. 09 Cj. 01 Lote 02 Cid. do Automóvel;José Carlos;9331-7561;1 prensa, 1 caminhão, mesas vide CDT;Galpão fechado próprio 1.500m²;;25
15;RENASCER;Cid. Automóvel e Torre Digital;Bernardino;8566-3657;sem equipamentos;sem área;;20
16;ARCAN;QR AO Cj. VC AE-atrás C. Bomb. Candang.;Moisés;3301-8681;1 prensa;área irregular Candangolândia;;12
17;SONHO DE LIBERDADE*;Estrutural;Fernando;9693-6465;triturador, 1 caminhão;área irregular Estrutural estrutura em madeira;;100
18;COOPERCOCO**;SCLN 214 Blc. A loja 32/34 Asa Norte;José Roberto;8440-8052;processadores comprados falta instalar;área de 20.000m² Riacho F1 p/ contrução;;sem registro
Sobradinho;;;;;;;;
19;PLANALTO;AE Lt 4 e 6 - Distrito SLU;Rosival;8440-8894;1 prensa e 1 caminhão vide CDT;Área de Transbordo do SLU Sobradinho tendas;;45
20;COOPERDIFE;AE Lt 4 e 6 - Distrito SLU;Gilmar;9278-1983;1 prensa, 1 esteira, 1 camihão;Área de Transbordo do SLU Sobradinho tendas;;30
Riacho Fundo II;;;;;;;;
21;100 DIMENSÃO;QN 16 Conj. 5 lote 2;Sônia;8530-0616;1 prensa módulo de processamento p montagem.;3 Galpões fechados área total 1.800m²;;sem registro
Recanto das Emas;;;;;;;;
22;SUPERAÇÃO;Qd. 200 Cj. 04 Lote 17 ProdDF;Leda;8431-8921;sem equipamentos vide CDT;sem área, sem atuação regular;;10
23;RECICLO;Av. Monjolo AE Complexo Educac. Cidad. dos Meninos Q. 300;Nívea;8569-4581;2 prensas, 1 balança, 1 caminhão vide CDT;Galpão fechado SEDEST 220m²;;20
Samambaia;;;;;;;;
24;FLOR DO CERRADO;Não informado;Marcos;-;Prensa e caminhão;Ocupação próxima do Iate Clube;;28
Ceilândia;;;;;;;;
25;CATAMARE;QNR 03 Cj. G Casa 15 P Norte;Antônia;9514-5112;sem equipamentos;Galpão fechado Terracap 375m²;;10
26;RECICLE A VIDA;QNM 28 Md. B Ceilândia;Cláudia/Taisa;3373-1810;2 prensas, 1 caminhão, 1 empilhadeira, 1 esteira,;Galpão fechado SEDEST 1.000m²;;134
27;APCORC;QNP 28 AE Usina do P Sul;Cléia;3378-6125;2 prensas vide CDT;Usina P Sul e Galpão SLU de 2.500m²;;115
28;CATAGUAR;QNP 28 AE Usina do P Sul;Graça;3585-7742;vide CDT;Usina P Sul e Galpão SLU de 2.500m²;;45
Brazlândia;;;;;;;;
29;ACOBRAZ;Vila São José Km 01 (Saída p/ Rodeador);Marconi;8597-8964;3 prensas, vide CDT;Área de transbordo do SLU Brazlândia Galpão 253m² tendas;;25
Gama;;;;;;;;
30;COOPERFENIX;QI 6 lt 460 S. Indústria - Gama Leste;Raimunda;3385-3132;vide CDT;sem atividade;;sem registro
Santa Maria;;;;;;;;
31;ASTRADASM;Av. Alagados - ch. 06 -;Lindon J.;9284-8953;vide CDT;sem registro de atividade;;15
32;VIDA NOVA;QE 30 Bloco B lj. 15 Guará II;Osmero;8463-3216;sem registro de atividade;sem registro de atividade;;12
Planaltina;;;;;;;;
33;FUNDAMENTAL;Q. 18 Cj. F Lote 18;Fernando;3029-3465;1 prensa, 1 caminhão vide CDT;Galpão 375m² alugado;;sem registro
São Sebastião;;;;;;;;
34;ECOLIMPO;ADE PRÓ-DF Cj. 01 Lote 09;Santana;8573-0401;sem equipamentos;Galpão 200m² alugado.;;15
;;;;;;;TOTAL;2.362
