11;11/2018;COOPERE - COOPERATIVA DE TRABALHADORES CATADORES MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL;17/01/2018;PRESTAÇÃO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS NA RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO NO SIATRECHO 17, LOTE 1400 - BRASÍLIA/DF;01/08/2021;R$ 328.471,20;BRUNA KARLA SOARES ARAUJO / ALBA LUCIA BARROS MOREIRA RODRIGUES
12;09/2018;COOPERLIMPO DE CATADORES BRASIL;31/01/2018;PRESTAÇÃO DE PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS NA RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO NO SAAN Q, 02 LOTES 630 A 680 - BRASÍLIA/DF;31/07/2021;R$ 729.936,00;FRANCISCO ANTONIO MENDES JORGE / JOSÉ NILTON ARRAIS DA SILVA
13;32/2018;ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS RECICLAVEIS DO GUARA - CATAGUAR.;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 654.984,00;LUCAS DE SOUZA SILVA ENTREPORTES / ANDRÉ LUIZ JUNQUEIRA GUIMARÃES
14;34/2018;ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE BRAZLÂNDIA - ACOBRAZ;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 267.948,00;FRANCISCO ANTONIO MENDES JORGE / DIVINO ETERNO RIBEIRO
15;35/2018;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 364.968,00;FRANCISCO ANTÔNIO MENDES JORGE / ANDREA PORTUGAL FELLOWS KUHNERT DOURADO
16;36/2018;COOPERATIVA POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLÁVEIS COM FORMAÇÃO EM EDUCAÇÃO AMBIENTAL - COOPATIVA;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 218.980,80;BRUNA KARLA SOARES DE ARAUJO / VANDA ALVES DA ROCHA
17;37/2018;COOPERATIVA RENOVE DE RESÍDUOS SÓLIDOS DE BRASÍLIA - CRRSB;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 218.980,80;FRANCISCO ANTONIO MENDES JORGE / JOSÉ NILTON ARRAIS DA SILVA
18;38/2018;COOPERATIVA DE RECICLAGEM O DISTRITO FEDERAL E ENTORNO - COOPERDIFE;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 656.942,40;ANDRÉA PORTUGAL FELLOWS KUHNERT DOURADO / FRANCISCO ANTÔNIO MENDES JORGE
19;31/2018;RECICLE A VIDA COOPERATIVA DE CATADORES DO DF;05/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 1.094.094,00;FRANSCICO ANTONIO MENDES JORGE / ALEXANDRO DOS SANTOS HENRIQUES
20;33/2018;COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS RENASCER;05/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 255.477,60;BRUNA KARLA SOARES ARAUJO / VANDA ALVES DA ROCHA
21;39/2018;ASSOCIAÇÃO PRE-COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE CEILÂNDIA - APCORC;06/11/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2021;R$ 1.250.424,00;LUCAS DE SOUZA SILVA ENTREPORTES / ANDRÉ LUIZ JUNQUEIRA GUIMARÃES
