30/2021;AMBIENTAL TECNOL CONSULTORIA EIRELI;24/01/2022;;ELABORAÇÃO DE RELATÓRIO DE INVESTIGAÇÃO DE;20/01/2023;R$ 20.999,00;ANDERSON FERNANDES DE MOURA, HELENA MAGALHÃES GOMES GARCIA E CAMILA YARLA FERNANDES
;;;;PASSIVO AMBIENTAL DE ACORDO COM A ABNT;;;
;;;;15.515PARA VERIFICAÇÃO DE UMA POSSÍVEL;;;
;;;;CONTAMINAÇÃO DO SOLO E DO LENÇOL FREÁTICO;;;
;;;;NA UNIDADE DO SLU LOCALIZADA NO NÚCLEO DE;;;
;;;;LIMPEZA DA ASA NORTE PARA POSTERIOR;;;
;;;;DESATIVAÇÃO E A REPARAÇÃO AMBIENTAL.;;;
01/2022;OH PROJETOS SERVIÇOS DE CONSTRUÇÃO CIVIL EIRELI;01/02/2022;;PROJETO EXECUTIVO E CONSTRUÇÃO DE 03(TRÊS);01/02/2023;R$ 79.195,52;HELENA MAGALHÃES GOMES GARCIA/ FERNANDA FERREIRA DE SOUSA/ MARCELO LOPES VIEIRA BEZERRA
;;;;ESTRUTURAS DE COBERTURA PARA OS PÁTIOS DE;;;
;;;;COMPOSTAGEM DA USINA DO P.SUL, CONFORME AS;;;
;;;;DIMENSÕES DO PROJETO BÁSICO ELABORADO PELA;;;
;;;;DITEC.;;;
